"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","should apply saved filter and update results","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","28","should show rows after search","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","22","should display all filter fields in modal","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","35","should clear search and restore full list","firefox","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","17","should show Add Patient button","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","15343","should verify the newly added patient","chromium","2026-06-18","passed","2026-06-18","Add Patient — @add-patient","e2e\add-patient.spec.js","",""
"","29","should display search bar and action buttons","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","28","should clear all filters and restore full list","firefox","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","106","should open MRN lookup when clicking Add Patient (MRN)","chromium","2026-06-18","skipped","2026-06-18","Add Patient — @add-patient","e2e\add-patient.spec.js","",""
"","26","should show no results for non-existent patient","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","21","should close filter modal when clicking Cancel","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","10","should not submit when all fields are empty","firefox","2026-06-17","skipped","2026-06-17","Add Patient — @add-patient","e2e\add-patient.spec.js","",""
"","24","should show clear filter button only when search is active","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","9064","should close Add Patient modal when clicking Cancel","chromium","2026-06-18","passed","2026-06-18","Add Patient — @add-patient","e2e\add-patient.spec.js","",""
"","56","should show error for a non-existent MRN","chromium","2026-06-18","skipped","2026-06-18","Add Patient — @add-patient","e2e\add-patient.spec.js","",""
"","27","should clear search and restore full list","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
"","29","should display saved filters row","chromium","2026-06-17","skipped","2026-06-17","Patient Listings — @patients","e2e\patient-listings.spec.js","",""
